fecha,mes,anio,linea,tipo_pago,afluencia
2021-01-19,Enero,2021,Linea 7,Gratuidad,1389.0
2021-01-20,Enero,2021,Linea 1,Prepago,289947.0
2021-01-20,Enero,2021,Linea 1,Gratuidad,13310.0
2021-01-20,Enero,2021,Linea 2,Prepago,104972.0
2021-01-20,Enero,2021,Linea 2,Gratuidad,6814.0
2021-01-20,Enero,2021,Linea 3,Prepago,103962.0
2021-01-20,Enero,2021,Linea 3,Gratuidad,7350.0
2021-01-20,Enero,2021,Linea 4,Prepago,51585.0
2021-01-20,Enero,2021,Linea 4,Gratuidad,2183.0
2021-01-20,Enero,2021,Linea 5,Prepago,97684.0
2021-01-20,Enero,2021,Linea 5,Gratuidad,10080.0
2021-01-20,Enero,2021,Linea 6,Prepago,94988.0
2021-01-20,Enero,2021,Linea 6,Gratuidad,7752.0
2021-01-20,Enero,2021,Linea 7,Prepago,102965.0
2021-01-20,Enero,2021,Linea 7,Gratuidad,1372.0
2021-01-21,Enero,2021,Linea 1,Prepago,283476.0
2021-01-21,Enero,2021,Linea 1,Gratuidad,13481.0
2021-01-21,Enero,2021,Linea 2,Prepago,104346.0
2021-01-21,Enero,2021,Linea 2,Gratuidad,6749.0
2021-01-21,Enero,2021,Linea 3,Prepago,103282.0
2021-01-21,Enero,2021,Linea 3,Gratuidad,6843.0
2021-01-21,Enero,2021,Linea 4,Prepago,52874.0
2021-01-21,Enero,2021,Linea 4,Gratuidad,2444.0
2021-01-21,Enero,2021,Linea 5,Prepago,87948.0
2021-01-21,Enero,2021,Linea 5,Gratuidad,9873.0
2021-01-21,Enero,2021,Linea 6,Prepago,96191.0
2021-01-21,Enero,2021,Linea 6,Gratuidad,7789.0
2021-01-21,Enero,2021,Linea 7,Prepago,103319.0
2021-01-21,Enero,2021,Linea 7,Gratuidad,1162.0
2021-01-22,Enero,2021,Linea 1,Prepago,307733.0
2021-01-22,Enero,2021,Linea 1,Gratuidad,13508.0
2021-01-22,Enero,2021,Linea 2,Prepago,105406.0
2021-01-22,Enero,2021,Linea 2,Gratuidad,6855.0
2021-01-22,Enero,2021,Linea 3,Prepago,104958.0
2021-01-22,Enero,2021,Linea 3,Gratuidad,7166.0
2021-01-22,Enero,2021,Linea 4,Prepago,54551.0
2021-01-22,Enero,2021,Linea 4,Gratuidad,2276.0
2021-01-22,Enero,2021,Linea 5,Prepago,100050.0
2021-01-22,Enero,2021,Linea 5,Gratuidad,10039.0
2021-01-22,Enero,2021,Linea 6,Prepago,89215.0
2021-01-22,Enero,2021,Linea 6,Gratuidad,7580.0
2021-01-22,Enero,2021,Linea 7,Prepago,102385.0
2021-01-22,Enero,2021,Linea 7,Gratuidad,1255.0
2021-01-23,Enero,2021,Linea 1,Prepago,194418.0
2021-01-23,Enero,2021,Linea 1,Gratuidad,9877.0
2021-01-23,Enero,2021,Linea 2,Prepago,80276.0
2021-01-23,Enero,2021,Linea 2,Gratuidad,5402.0
2021-01-23,Enero,2021,Linea 3,Prepago,80572.0
2021-01-23,Enero,2021,Linea 3,Gratuidad,5274.0
